city,country,description,location,State,state_abbrev,longitude,latitude,city_longitude,city_latitude,Audio Evidence,Image/Video/Visual Evidence,Haunted Places Date,Haunted Places Witness Count,Time of Day,Apparition Type,Event Type,Deaths per Year,Average Potential Life Years Lost per Death,"Deaths per 10,000 Adults",Percentage of Adults who Binge Drink 1+ Times per Month,Median Drinks per Binge,Top 25% Drinks per Binge,Median Binge per Month,Top 25% Binge per Month,Increase in Alcohol Deaths per Capita from 2015 to 2019,Male Proportion of Deaths,Percent Deaths from Chronic Causes,Percent Deaths from Acute Causes,Percent Deaths 35+,Percent Deaths under 21,Years of Life Lost per Year,Taxpayer Cost in 2010 (billions),Inflation Adjusted Cost to 2022 (billions),Inflation Adjusted Per Drink (2022),avg_violent_crime,avg_murder_manslaughter,avg_property_crime,avg_temp_rank,avg_precip_rank,precip_category,"Top_6_Primary_Substances (Per 100,000)","Alcohol (Per 100,000)","Heroin (Per 100,000)","Methamphetamine (Per 100,000)","Other Opiates/Synthetics (Per 100,000)","Marijuana/Hashish (Per 100,000)","Cocaine (Per 100,000)",daylight_hours,Filename,Caption,Detected Objects_x,Entity Labels,Entity Texts,GeoTopic Name,GeoTopic Latitude,GeoTopic Longitude,Detected Objects_y
Ada,United States,"Ada witch - Sometimes you can see a misty blue figure floating within a 3-mile radius of the Ada Cemetery on 2 Mile between Egypt Valley and Honey Creek. The story of her origin is as follows: A man suspected his wife of having an affair, so he followed her late one night when she thought he was asleep. Sure enough, she went to a field near their property where she met her lover. The husband was enraged and killed his wife, which resulted in a struggle with the other man. Both men died from their injuries. It is said that late at night (especially during the night of and the nights preceding a full moon) people driving by the field can see her ghost, searching for her lover. Some people have reported stopping to try to communicate with her, but she always disappears or runs into the woods where she cannot be followed (due to the thick brambles that inhabit the area). She is said to dress in a long white gown which authorities say dates her to the turn of the 20th century. Usually she is seen alone, but sometimes witnesses report seeing a ghostly death scene re-enacted... Others report seeing nothing at all but hearing the killer's shouts of rage followed by the victims' screams of agony... Although it is said she haunts the field on Honeycreek Road where she died, other witnesses have reported her in nearby Seidman Park, and in nearby Findlay Cemetery, where she is supposedly buried. This story was actually featured in the book ""Ghosts of Grand Rapids.""",Ada Cemetery,Michigan,MI,-85.50489309999999,42.9621061,-85.4954803,42.960727,True,True,2025/03/03,8,Night,Ghost (Male),Murder,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,Ada_witch___Sometimes_you_can_see_a_misty_blue_fig.png,a group of people standing on top of a lush green field .,"mailbox, letter box (0.23), park bench (0.13), West Highland white terrier (0.10), ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin (0.09), picket fence, paling (0.05)","['ORG', 'QUANTITY', 'FAC', 'ORG', 'GPE', 'TIME', 'TIME', 'TIME', 'DATE', 'FAC', 'FAC', 'PERSON', 'WORK_OF_ART']","['Ada witch -', '3-mile', 'the Ada Cemetery', 'Egypt Valley', 'Honey Creek', 'late one night', 'late at night', 'the night', 'the turn of the 20th century', 'Honeycreek Road', 'Seidman Park', 'Findlay Cemetery', 'Ghosts of Grand Rapids']",Ada Cemetery,42.96252,-85.50474,"mailbox, letter box (0.23), park bench (0.13), West Highland white terrier (0.10), ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin (0.09), picket fence, paling (0.05)"
Addison,United States,A little girl was killed suddenly while waiting for a school bus by a speeding car. Since her death things have happened. The day of her funeral she started knocking on doors of the house she was born in.1 month later as her clothes were to be removed the doors in the home flew open with no reason. Cold spots now can be felt & knocking at the door is still present to this day in the home. Also when there swings in the yard you could see them swing real high as if someone was swinging on them. lights like to go on & off in this home & she does move things to let someone know she is there. The cemetery where this child lies has had alot of activity also. When you visit her grave she has a twirly that will start going around & round with no reason or wind blowing to let you know she is present. Some have said she has been spotted walking the cemetery very restless as if she doesn't realize she has passed on.,North Adams Rd.,Michigan,MI,-84.3818434,41.9714248,-84.3471684,41.986434,True,True,2025/03/01,0,Unknown,Unknown (Male),Murder,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,A_little_girl_was_killed_suddenly_while_waiting_fo.png,a black and white photo of a fire hydrant,"mobile home, manufactured home (0.33), picket fence, paling (0.08), patio, terrace (0.07), window screen (0.04), flagpole, flagstaff (0.04)","['DATE', 'DATE']","['in.1 month later', 'this day']",,,,"mobile home, manufactured home (0.33), picket fence, paling (0.08), patio, terrace (0.07), window screen (0.04), flagpole, flagstaff (0.04)"
Adrian,United States,"If you take Gorman Rd. west towards Sand Creek, you will come to a gravel road leading north. A mile or so up this road you will come to narrow one lane trestle bridge. The road goes under this. Legend has it that at one time there was a farm house built near the tracks. Late one night a fire broke out in the barn. While the father ran to the barn to try to get the horses out, his wife and young son went to the tracks to wave down one of the many trains that would use that right of way. They were too close to the tracks however and both were struck by the train as it went past. The father was killed in the barn. Now if you go out there late at night, you can sometimes communicate with the Father. He will not allow you to talk to his wife or son; as if he was protecting them . There are other people living in the area now, and a large streetlight has been placed there by the people who own the neighboring land. If you stay there to long, they will call the police. However if you make your visit short enough they will usually leave you to it. This place has also been described as a good place to go to contact other spirits. The Father can be asked to help in this matter. He will not allow antagonistic spirits to talk however; once again to protect his family.",Ghost Trestle,Michigan,MI,-84.03565619999999,41.904538,-84.03716589999999,41.8975471,False,False,2025/01/01,0,Night,Ghost (Male),Murder,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,If_you_take_Gorman_Rd__west_towards_Sand_Creek__yo.png,a train traveling down tracks next to a forest .,"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi (0.18), worm fence, snake fence, snake-rail fence, Virginia fence (0.03), chainlink fence (0.03), alp (0.02), snowplow, snowplough (0.02)","['FAC', 'GPE', 'CARDINAL', 'CARDINAL', 'TIME', 'CARDINAL', 'TIME']","['Gorman Rd', 'Sand Creek', 'one', 'one', 'Late one night', 'one', 'late at night']",,,,"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi (0.18), worm fence, snake fence, snake-rail fence, Virginia fence (0.03), chainlink fence (0.03), alp (0.02), snowplow, snowplough (0.02)"
Adrian,United States,"In the 1970's, one room, room 211, in the old section of the dorms exhibited several phenomena. Don't know if this still continues today. The door into the room from the hallway, as well as the door into the bathroom, would open and shut on their own, the main door even if it had been locked. After closing, it would be locked again. There was also a spot on one wall (a wall that the room shared with a boarded up, no longer used laundry shaft) where two points of light would appear, shaped similar to eyes. Attempts were made to explain their appearance (they were visible any time it was dark in the room). They were screened off from the windows to see if they might be reflections, they weren't. When objects were placed between them and the windows they actually became brighter. We tried painting the walls, putting several coats of paint over them (thinking they may have been a joke of a previous resident, made with glow in the dark paint) - also having used sandpaper on the wall in that spot first before painting. They still appeared bright as ever after the painting. We tried covering them over by hanging a picture over them, but the picture kept falling down or moving. Last attempt to hang picture (it was a drawing on a piece of paper and simply taped to the wall) resulted in us waking up the next morning to find it taped to the ceiling over my bed. We finally moved a tall dresser in front of it and that seemed to take care of it. Reports from later residents told us that they had placed a mirror over it, and they had a rocker in the room. One night during a party, with several witnesses, the rocker began rocking on its own, then flew back and smashed the mirror. Have had no contact with the school since graduation, so don't know if these things still happen or not.",Siena Heights University,Michigan,MI,-84.0175653,41.9057124,-84.03716589999999,41.8975471,False,True,1919/03/13,0,Morning,Other (Male),Accident,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,In_the_1970_s__one_room__room_211__in_the_old_sect.png,a black and white photo of a bathroom .,"sliding door (0.43), wardrobe, closet, press (0.11), doormat, welcome mat (0.08)","['DATE', 'CARDINAL', 'CARDINAL', 'DATE', 'CARDINAL', 'CARDINAL', 'ORDINAL', 'TIME', 'TIME']","['1970', 'one', '211', 'today', 'one', 'two', 'first', 'the next morning', 'One night']",Sterling Heights,42.58031,-83.0302,"sliding door (0.43), wardrobe, closet, press (0.11), doormat, welcome mat (0.08)"
Albion,United States,"Kappa Delta Sorority - The Kappa Delta Sorority is haunted by an entity simply known as 'P'. It is said she was a sister there who died in a car accident. Current sisters there have reported hearing giggling and running around coming from the upstairs floor while they are in the basement. At one time a sister called out to ""P"" and received a ""hello"" in reply.",Albion College,Michigan,MI,-84.7451775,42.2440064,-84.7530304,42.243097,True,False,1835/03/13,2,Unknown,Ghost (Male),Accident,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,Kappa_Delta_Sorority___The_Kappa_Delta_Sorority_is.png,a person holding a pair of scissors in their hands .,"book jacket, dust cover, dust jacket, dust wrapper (0.98)","['ORG', 'CARDINAL']","['Kappa Delta Sorority - The Kappa Delta Sorority', 'one']",Albion College Historical Marker,42.24662,-84.7442,"book jacket, dust cover, dust jacket, dust wrapper (0.98)"
Albion,United States,A mysterious lady in white has been spotted in this cemetery.,Riverside Cemetery,Michigan,MI,-84.7530555,42.2368139,-84.7530304,42.243097,False,False,2025/05/13,0,Unknown,Unknown (Male),Unknown,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,A_mysterious_lady_in_white_has_been_spotted_in_thi.png,a black and white photo of a fire hydrant .,"church, church building (0.51), fountain (0.29), altar (0.03), monastery (0.02)",,,Riverside Cemetery,38.79689,-107.73348,"church, church building (0.51), fountain (0.29), altar (0.03), monastery (0.02)"
Algoma Township,United States,"On a winding dirt road next to the Rogue River called Friske, there is a small turn-around for no particular reason. On this turn-around, there is a trail that leads off a ways into the woods. If you follow the trail, it leads to an old iron bridge called Hell's Bridge. It is said that if you are sitting or standing on the bridge at midnight you can hear the devil laughing. The reason is, in the 1800's, when Algoma didn't really exist and Rockford was known as Laphamville, a man named Elias Friske murdered several children and claimed a demon made him do it. Later the bodies were found in the part of the river where the bridge is now. Sometimes you can also hear the children crying, @r the noise of splashing water where their bodies were thrown. Some fishermen in the early morning have reported seeing a strange figure near the bridge...",Hell's Bridge,Michigan,MI,,,-85.62292959999999,43.1492928,True,True,1800/01/01,1,Morning,Demon (Male),Murder,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,On_a_winding_dirt_road_next_to_the_Rogue_River_cal.png,a train traveling through a lush green forest .,"viaduct (0.21), pole (0.07), worm fence, snake fence, snake-rail fence, Virginia fence (0.05), park bench (0.03), maze, labyrinth (0.03)","['LOC', 'ORG', 'ORG', 'TIME', 'DATE', 'PERSON', 'GPE', 'ORG', 'PERSON', 'TIME']","['the Rogue River', 'Friske', ""Hell's Bridge"", 'midnight', '1800', 'Algoma', 'Rockford', 'Laphamville', 'Elias Friske', 'the early morning']",Rogue River,42.43595,-123.172,"viaduct (0.21), pole (0.07), worm fence, snake fence, snake-rail fence, Virginia fence (0.05), park bench (0.03), maze, labyrinth (0.03)"
Algonac,United States,"Morrow Road is a Haunted road in Algonac Michigan near Harsens Island. In the 1800's a woman lost here child on that road and is still looking for her today. At night people see strange glowing orbs floating down the road and through the woods. Some see the lady walking by the side of the road in an 1800's dress covered in blood. Still others have reported seeing her hanging from a tree by a noose. The road has been on the popular show Unsolved Mysteries as well as several local news channels. Now there is a movie being made about the road. the story behind the road is a woman went out in the middle of the night to find her toddler that had somehow got out alone in the winter they both froze to death, it is a fact that if you park on the bridge at midnight and honk your horn three times she will appear and see if you have her baby. She is also said to be wearing a white blood covered gown carrying her dead baby. Also a green light will chase people away.-  www.morrowroad.com",Morrow Road,Michigan,MI,-82.5762902,42.6529969,-82.531018,42.6183675,False,True,1800/01/01,4,Night,Ghost (Male),Death,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,Morrow_Road_is_a_Haunted_road_in_Algonac_Michigan.png,a train traveling through a lush green forest .,"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi (0.19), snowplow, snowplough (0.03), car mirror (0.03), alp (0.03), suspension bridge (0.03)","['FAC', 'GPE', 'LOC', 'DATE', 'DATE', 'TIME', 'DATE', 'ORG', 'DATE', 'TIME', 'CARDINAL']","['Morrow Road', 'Michigan', 'Harsens Island', '1800', 'today', 'night', '1800', 'Unsolved Mysteries', 'the winter', 'midnight', 'three']",Harsens Island,42.58948,-82.58852,"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi (0.19), snowplow, snowplough (0.03), car mirror (0.03), alp (0.03), suspension bridge (0.03)"
Allegan,United States,"People report hearing footsteps, and doors slamming where there are no doors, a small child's voice say ""Mama?""",Elks Lodge,Michigan,MI,-85.84159919999999,42.520552,-85.8553031,42.5291989,True,False,1868/03/13,0,Unknown,Unknown (Male),Unknown,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,People_report_hearing_footsteps__and_doors_slammin.png,a person taking a picture of a bathroom mirror .,"spotlight, spot (0.23), sliding door (0.15), window shade (0.04), television, television system (0.02), toilet seat (0.02)",,,Fort Worth Elks Lodge 124,32.75291,-97.33502,"spotlight, spot (0.23), sliding door (0.15), window shade (0.04), television, television system (0.02), toilet seat (0.02)"
Allegan,United States,"Various ghostly activities. News coverage about these hauntings every year around Halloween time, on the local channels.",The Grill House and the Rock Bottom Bar,Michigan,MI,-85.8575642,42.4977621,-85.8553031,42.5291989,False,True,2025/01/01,0,Unknown,Ghost (Male),Supernatural,"4,548",25.5,5.75,19.8%,5.6,7.9,1.8,4.3,40.2%,67.9%,59.6%,40.4%,84.4%,2.57%,115890.0,8.162,11.018,2.84,50251.92857142857,632.2142857142857,289907.0714285714,123.0,121.0,Above Average,734.0,324.0,165.0,80.0,56.0,31.0,78.0,11.83,Various_ghostly_activities__News_coverage_about_th.png,a collage of photos with a cat and a dog,"perfume, essence (0.33), Scotch terrier, Scottish terrier, Scottie (0.09), groenendael (0.07), gown (0.07), abaya (0.06)","['DATE', 'DATE']","['every year', 'Halloween']",,,,"perfume, essence (0.33), Scotch terrier, Scottish terrier, Scottie (0.09), groenendael (0.07), gown (0.07), abaya (0.06)"
